german,english,german_full,s1,t1,s2,t2,s3,t3,s4,t4,s5,t5,s6,t6
Tür,door,"die Tür, -en",Machen Sie bitte die Tür zu! Es zieht.,Please close the door! There is a draught.,,,,,,,,,,
Turm,tower,"der Turm, ¨-e","Kommen Sie auf den Turm, von hier sieht man die ganze Stadt.","Come up to the tower, from here you can see the whole city.",,,,,,,,,,
Tüte,bag,"die Tüte, -n",Brauchen Sie eine Tüte für den Salat?,Do you need a bag for the salad?,,,,,,,,,,
Typ,"type, guy","der Typ, -en",Mein Nachbar ist ein netter Typ.,My neighbor is a nice guy.,Was für ein Typ bist du? Was machst du gerne?,What type of person are you? What do you like to do?,Kennen Sie sich mit den verschiedenen Typen aus? Auch mit meinem Auto?,Are you familiar with the different types? Even with my car?,,,,,,
U-Bahn,subway,"die U-Bahn, -en",Ich fahre mit der U-Bahn.,I take the subway.,,,,,,,,,,
Übung,exercise,"die Übung, -en",Diese Übung war sehr schwer.,This exercise was very difficult.,Ich fahre nicht oft Auto. Mir fehlt die Übung.,I don't drive often. I don't get enough practice.,,,,,,,,
Übernachtung,overnight stay,"die Übernachtung, -en",In diesem Hotel kostet die Übernachtung mit Frühstück 90 Euro.,"In this hotel, an overnight stay with breakfast costs 90 euros.",,,,,,,,,,
Überraschung,surprise,"die Überraschung,-en",Ich habe eine Überraschung für dich.,I have a surprise for you.,"Das ist ja eine Überraschung. Ich dachte, du bist im Urlaub.",That's quite a surprise. I thought you were on vacation.,,,,,,,,
Überschrift,"heading, title","die Überschrift, -en",Der Artikel erschien unter der folgenden Überschrift: „…“,"The article appeared under the following headline: ""...""",Die Überschrift passt überhaupt nicht zum Inhalt des Artikels.,The headline does not match the content of the article at all.,,,,,,,,
"Übersetzer, Übersetzerin",translator,"der Übersetzer, - 
die Übersetzerin, -nen",Meine Tochter möchte als Übersetzerin arbeiten.,My daughter would like to work as a translator.,,,,,,,,,,
Übersetzung,translation,"die Übersetzung, -en",Die Übersetzung des Buches ist sehr gut.,The translation of the book is very good.,,,,,,,,,,
Überstunde,overtime,"die Überstunde, -n",Ich muss heute Überstunden machen.,I have to work overtime today.,,,,,,,,,,
Überweisung,"transfer, referral","die Überweisung, - en",Sie können bar oder per Überweisung bezahlen.,You can pay in cash or by bank transfer.,Der Hausarzt hat mir eine Überweisung fürs Krankenhaus gegeben.,The family doctor gave me a referral for the hospital.,,,,,,,,
Ufer,shore,"das Ufer, -",Er schwimmt ans Ufer zurück.,He swims back to shore.,Am Seeufer ist es schön spazieren zu gehen.,It's nice to go for a walk along the lakeshore.,,,,,,,,
Uhr,"clock, watch, time","die Uhr, -en",Wie viel Uhr ist es?,What time is it?,Es ist vier Uhr.,It's four o'clock.,Um wie viel Uhr müssen wir gehen?,What time do we have to leave?,Meine Uhr ist stehen geblieben.,My watch has stopped.,,,,
Umfrage,survey,"die Umfrage, -n",Wir machen eine Umfrage zum Thema Umweltschutz.,We are conducting a survey on the subject of environmental protection.,,,,,,,,,,
Umgebung,surrounding,"die Umgebung, -en",In der Umgebung von Berlin kann man schöne Ausflüge machen.,You can make beautiful excursions in the surroundings of Berlin.,,,,,,,,,,
Umleitung,detour,"die Umleitung, -en",Es gibt wegen des Unfalls eine Umleitung.,There is a detour due to the accident.,,,,,,,,,,
Umtausch,exchange,"der Umtausch, ¨-e",Ein Umtausch ist leider nicht möglich.,An exchange is unfortunately not possible.,,,,,,,,,,
Umwelt,environment,die Umwelt (Sg.),Alte Autos sind ein Problem für die Umwelt.,Old cars are a problem for the environment.,,,,,,,,,,
Umweltschutz,environmental protection,der Umweltschutz (Sg.),Das Land muss mehr Geld für Umweltschutz ausgeben.,The country must spend more money on environmental protection.,,,,,,,,,,
Umweltverschmutzung,environmental pollution,"die Umweltverschmutzung, -en",Die Umweltverschmutzung nimmt weiter zu.,Environmental pollution continues to increase.,,,,,,,,,,
Umzug,"move, relocation","der Umzug, ¨-e",Der Umzug ist nächste Woche.,The move is next week.,,,,,,,,,,
Unfall,accident,"der Unfall, ¨-e",Ich hatte letzte Woche einen Unfall.,I had an accident last week.,,,,,,,,,,
Unglück,"misfortune, accident","das Unglück, -e",Bei dem Unglück gab es viele Verletzte.,Many people were injured in the accident.,,,,,,,,,,
Uniform,uniform,"die Uniform, -en","In der Schule, die sie besucht, trägt man Uniformen.",Uniforms are worn at the school she attends.,,,,,,,,,,
Universität,university,"die Universität, -en",Mein Sohn studiert an der Universität.,My son is studying at university.,,,,,,,,,,
Unterhaltung,entertainment,"die Unterhaltung, -en",Wir wünschen Ihnen gute Unterhaltung.,We wish you good entertainment.,,,,,,,,,,
Unterkunft,accommodation,"die Unterkunft, ¨-e",Ich komme drei Tage nach Hamburg und suche eine günstige Unterkunft.,I'm coming to Hamburg for three days and am looking for cheap accommodation.,Ist dieser Preis inklusive Unterkunft und Essen?,Does this price include accommodation and food?,,,,,,,,
Unterlagen,documents,die Unterlagen (Pl.),Ich schicke Ihnen alle Unterlagen mit der Post zu.,I will send you all the documents by post.,,,,,,,,,,
"Unternehmer, Unternehmerin",entrepreneur,"der Unternehmer, - 
die Unternehmerin, -nen",Sie ist erfolgreiche Unternehmerin.,She is a successful entrepreneur.,,,,,,,,,,
Unterricht,lesson,der Unterricht (Sg.),Der Unterricht dauert von 17 bis 19 Uhr.,The lessons last from 5 to 7 pm.,,,,,,,,,,
Unterschied,difference,"der Unterschied, -e","Können Sie mir sagen, was der Unterschied ist? Welche Fahrkarte ist günstiger?",Can you tell me what the difference is? Which ticket is cheaper?,,,,,,,,,,
Unterschrift,signature,"die Unterschrift, -en",Auf dem Schreiben fehlt die Unterschrift.,The signature is missing on the letter.,,,,,,,,,,
Unterstützung,support,"die Unterstützung, -en",Ich nehme Ihre Unterstützung gern an.,I will gladly accept your support.,,,,,,,,,,
Untersuchung,"investigation, examination","die Untersuchung, -en",Ich habe morgen eine Untersuchung im Krankenhaus.,I have a check-up at the hospital tomorrow.,,,,,,,,,,
Urkunde,"certificate, document","die Urkunde, -n","Wenn wir das Spiel gewinnen, bekommen wir eine Urkunde.","If we win the game, we get a certificate.",,,,,,,,,,
Urlaub,vacation,"der Urlaub, -e (D, A) 
→ CH: Ferien",Ich habe noch drei Tage Urlaub.,I still have three days of vacation.,,,,,,,,,,
Ursache,cause,"die Ursache, -n",Kennt man schon die Unfallursache?,Do you already know the cause of the accident?,Vielen Dank! – Keine Ursache!,Thank you very much! - You're welcome!,,,,,,,,
Urteil,"judgement, sentence","das Urteil, -e",Dein Urteil ist für mich sehr wichtig.,Your judgment is very important to me.,Das Urteil des Gerichts erscheint mir zu hart.,The court's judgment seems too harsh to me.,,,,,,,,
Vase,vase,"die Vase, -n",Hast du eine Vase für die Blumen?,Do you have a vase for the flowers?,,,,,,,,,,
Vater,father,"der Vater, ¨-",Mein Vater arbeitet in einem Restaurant.,My father works in a restaurant.,Herr Müller ist Vater geworden.,Mr. Müller has become a father.,,,,,,,,
Velo,bike,"das Velo, -s (CH) 
→ Fahrrad; D, A: Rad",Sie fährt jeden Morgen mit dem Velo zur Arbeit.,She rides her bike to work every morning.,Am Sonntag fahren wir oft Velo.,We often go cycling on Sundays.,,,,,,,,
Verabredung,appointment,"die Verabredung, -en",Ich habe um 15 Uhr eine Verabredung mit Klaus.,I have an appointment with Klaus at 3 pm.,,,,,,,,,,
Abschied,farewell,"der Abschied, -e",Der Abschied von meinen Freunden fiel mir schwer.,It was hard to say goodbye to my friends.,,,,,,,,,,
Veranstaltung,event,"die Veranstaltung, -en",Am Samstag ist unser Lokal geschlossen. Wir haben eine Veranstaltung.,Our restaurant is closed on Saturday. We have an event.,,,,,,,,,,
Verantwortung,responsibility,"die Verantwortung, -en",Sie tragen die Verantwortung für Ihre Kinder.,You are responsible for your children.,,,,,,,,,,
Verbot,"prohibition, ban","das Verbot, -e",Ich bin für das Verbot dieses neuen Videospiels.,I am in favor of banning this new video game.,,,,,,,,,,
Verbindung,connection,"die Verbindung, -en",Die Verbindung ist sehr gut. Ich kann direkt mit diesem Zug fahren und muss nicht umsteigen.,The connection is very good. I can travel directly on this train and don't have to change trains.,Kannst du bitte lauter sprechen? Die Verbindung ist sehr schlecht.,Can you please speak up? The connection is very bad.,,,,,,,,
"Verbrecher, Verbrecherin",criminal,"der Verbrecher, - 
die Verbrecherin, -nen",Die Polizei hat den Verbrecher verhaftet.,The police have arrested the criminal.,,,,,,,,,,
Verdacht,suspicion,"der Verdacht, -e/¨-e","Wer hat das Geld aus der Kasse genommen? – Ich weiß es nicht, aber ich habe einen Verdacht.","Who took the money from the till? - I don't know, but I have my suspicions.",Wen haben Sie in Verdacht?,Who do you suspect?,,,,,,,,
Verein,"association, club","der Verein, -e",Ich bin schon seit 15 Jahren Mitglied in diesem Verein.,I have been a member of this association for 15 years.,,,,,,,,,,
Vergangenheit,the past,"die Vergangenheit, -en",In der Vergangenheit war das anders.,It was different in the past.,,,,,,,,,,
Vergleich,comparison,"der Vergleich, -e",Ein Vergleich ist schwer möglich.,A comparison is difficult to make.,Im Vergleich zum Wetter letzte Woche ist es heute warm.,"Compared to the weather last week, it's warm today.",,,,,,,,
Vergnügen,pleasure,"das Vergnügen, -","Es ist ein Vergnügen, den Kindern beim Spielen zuzusehen.",It's a pleasure to watch the children play.,Ich wünsche dir viel Vergnügen bei der Party!,I hope you enjoy the party!,,,,,,,,
Verhalten,behavior,das Verhalten (Sg.),Ich bewundere dein Verhalten in der schwierigen Situation.,I admire your behavior in this difficult situation.,,,,,,,,,,
Verhältnis,"relationship, ratio","das Verhältnis, -se",Ich habe ein gutes Verhältnis zu meinen Eltern.,I have a good relationship with my parents.,,,,,,,,,,
"Verkäufer, Verkäuferin","salesman, saleswoman","der Verkäufer, - 
die Verkäuferin, -nen",Die Verkäuferin wird Ihnen gleich helfen.,The sales assistant will help you in a moment.,,,,,,,,,,
Verkehr,traffic,der Verkehr (Sg.),Morgens ist hier immer viel Verkehr.,There is always a lot of traffic here in the morning.,,,,,,,,,,
Verkehrsmittel,means of transportation,"das Verkehrsmittel, -",Es gibt kaum Parkplätze. Sie sollten mit öffentlichen Verkehrsmitteln fahren.,There are hardly any parking spaces. You should use public transportation.,,,,,,,,,,
Verlag,publisher,"der Verlag, -e (A: ¨-e)",Von welchem Verlag ist dieses Buch?,Which publisher is this book from?,,,,,,,,,,
Verletzung,injury,"die Verletzung, -en",Keine Angst. Die Verletzung ist nicht so schlimm.,Don't worry. The injury is not that bad.,,,,,,,,,,
"Verlierer, Verliererin",loser,"der Verlierer, - 
die Verliererin, -nen",Sie ist eine gute Verliererin.,She is a good loser.,,,,,,,,,,
Verlust,loss,"der Verlust, -e",Der Verlust meiner Uhr ärgert mich sehr.,I am very upset about losing my watch.,,,,,,,,,,
"Vermieter, Vermieterin","landlord, landlady","der Vermieter, - 
die Vermieterin, -nen","Unsere Vermieterin ist eine sehr nette, ältere Frau.","Our landlady is a very nice, elderly woman.",,,,,,,,,,
Vermietung,"renting, leasing","die Vermietung, -en",Mit der Vermietung von Wohnungen kann man viel Geld verdienen.,You can earn a lot of money by renting out apartments.,,,,,,,,,,
Vermittlung,"mediation, agency","die Vermittlung, -en",Du suchst ein Zimmer? Dann frag bei der Vermittlung am Bahnhof nach.,Are you looking for a room? Then ask at the agency at the station.,Rufen Sie die Vermittlung an und fragen Sie nach der Telefonnummer von Herrn Fischer.,Call the operator and ask for Mr. Fischer's telephone number.,,,,,,,,
Versammlung,meeting,"die Versammlung, -en",Der Minister hielt bei der Versammlung eine Rede.,The Minister gave a speech at the meeting.,,,,,,,,,,
Versichertenkarte,insurance card,"die Versichertenkarte, -n (D) 
→ A: e-card",Haben Sie Ihre Versichertenkarte dabei?,Do you have your insurance card with you?,,,,,,,,,,
Versicherung,insurance,"die Versicherung, -en",Sie sollten eine Versicherung für Ihr Gepäck abschließen.,You should take out insurance for your luggage.,Sie müssen den Unfall der Versicherung melden.,You must report the accident to the insurance company.,,,,,,,,
Verspätung,delay,"die Verspätung, -en",Unser Zug hatte 10 Minuten Verspätung.,Our train was 10 minutes late.,,,,,,,,,,
Verständnis,understanding,das Verständnis (Sg.),Wir bitten um Ihr Verständnis.,We ask for your understanding.,,,,,,,,,,
Versuch,"attempt, try","der Versuch, -e",In der Forschung werden viele Versuche gemacht.,Many experiments are being carried out in research.,"Mein Versuch, etwas zu ändern, blieb ohne Erfolg.",My attempt to change something was unsuccessful.,,,,,,,,
Vertrag,contract,"der Vertrag, ¨-e",Sie beide müssen den Vertrag unterschreiben.,You both have to sign the contract.,,,,,,,,,,
Vertrauen,trust,das Vertrauen (Sg.),Ich habe Vertrauen zu Ihnen.,I have confidence in you.,,,,,,,,,,
"Vertreter, Vertreterin",representative,"der Vertreter, - 
die Vertreterin, -nen","Als Herr Dr. Müller in Urlaub war, bin ich zu seiner Vertreterin gegangen.","When Dr. Müller was on vacation, I went to see his deputy.",Die Elternvertreter treffen sich morgen Abend in der Schule.,The parent representatives will meet tomorrow evening at the school.,,,,,,,,
Vertretung,representation,"die Vertretung, -en",Herr Dr. Meyer macht für mich die Vertretung.,Dr. Meyer is standing in for me.,,,,,,,,,,
Verwaltung,administration,"die Verwaltung, -en",Sprechen Sie bitte mit der Verwaltung. Die können Ihnen helfen.,Please speak to the administration. They can help you.,,,,,,,,,,
Verwandte,relative,"der Verwandte, -n 
die Verwandte, -n",Zu meinem Geburtstag kommen alle Verwandten.,All my relatives come to my birthday.,,,,,,,,,,
Video,video,"das Video, -s",Ich habe den Film auf Video aufgenommen.,I recorded the movie on video.,Lass uns ein Video vom Fest machen!,Let's make a video of the party!,,,,,,,,
Viertel,"quarter, district","das Viertel, - (D, A) 
→ CH: Quartier",Wir wohnen in einem schönen Viertel.,We live in a nice neighborhood.,,,,,,,,,,
Virus,virus,"der Virus, Viren",Ich habe mal wieder einen Virus auf meinem Computer.,Once again I have a virus on my computer.,,,,,,,,,,
Visitenkarte,business card,"die Visitenkarte, -n",Darf ich Ihnen meine Visitenkarte geben?,May I give you my business card?,,,,,,,,,,
Visum,visa,"das Visum, Visa",Das Visum ist für drei Monate gültig.,The visa is valid for three months.,,,,,,,,,,
Vitamin,vitamin,"das Vitamin, -e","Der Arzt sagt, ich soll viele Vitamine essen.",The doctor says I should eat lots of vitamins.,,,,,,,,,,
Vollzeit,full-time,"die Vollzeit, -en",Ich möchte gerne Vollzeit arbeiten.,I would like to work full-time.,,,,,,,,,,
Voraussetzung,"prerequisite, condition","die Voraussetzung, -en",Gesunde Ernährung ist die Voraussetzung für ein langes Leben.,A healthy diet is a prerequisite for a long life.,"Er will die Arbeit nur unter der Voraussetzung annehmen, dass ihm die Firma eine Wohnung organisiert.",He only wants to accept the job on the condition that the company organizes an apartment for him.,,,,,,,,
Vorbereitung,preparation,"die Vorbereitung, -en",Nächste Woche beginnen wir mit der Vorbereitung für die Prüfung.,Next week we will start preparing for the exam.,,,,,,,,,,
Vorfahrt,right of way,die Vorfahrt (Sg.),Achtung! Das Auto rechts hat Vorfahrt!,Attention! The car on the right has right of way!,,,,,,,,,,
Vorort,"suburbs, outskirts","der Vorort, -e",Wir wohnen in einem Vorort von Köln.,We live in a suburb of Cologne.,,,,,,,,,,
Vorschlag,"proposal, suggestion","der Vorschlag, ¨-e","Ich mache dir einen Vorschlag: Du hilfst mir beim Deutschlernen, und ich lade dich zum Essen ein.",I'll make you a deal: you help me learn German and I'll buy you dinner.,,,,,,,,,,
Vorschrift,"regulation, rule","die Vorschrift, -en",Beachten Sie bitte die Vorschriften für das Benutzen der Bibliothek.,Please observe the regulations for using the library.,,,,,,,,,,
Vorsicht,caution,die Vorsicht (Sg.),Vorsicht! Der Teller ist heiß.,Watch out! The plate is hot.,,,,,,,,,,
Vorstellung,presentation,"die Vorstellung, -en",Wann läuft der Film? – Die nächste Vorstellung ist um 15 Uhr.,When is the movie showing? - The next screening is at 3 pm.,,,,,,,,,,
Vorstellungsgespräch,job interview,"das Vorstellungsgespräch, -e",Wann hast du dein Vorstellungsgespräch?,When do you have your interview?,,,,,,,,,,
Vorteil,advantage,"der Vorteil, -e","Der Vorteil von dieser Wohnung ist, dass sie direkt im Zentrum liegt.",The advantage of this apartment is that it is located right in the center.,,,,,,,,,,
Vortrag,"lecture, speech","der Vortrag, ¨-e",Ihr Vortrag war sehr interessant.,Your presentation was very interesting.,,,,,,,,,,
Vorwahl,area code,"die Vorwahl, -en",Wie ist die Vorwahl von Hamburg?,What is the area code for Hamburg?,,,,,,,,,,
